Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Lower Melville Wood,0.5,onshore,,Fife Council,Fife Council (100%),ATB,ATB500.54,1,0.5,,Scotland,Fife,Scotland,Ladybank,,Fife Council,13/00515/FULL,56.2946,-3.12977,NO 30174 11922,50,75,50,Operational,Fully Commissioned,Consented,26-Jul-16,,25 years after fully commissioned,,,,,,,,,"26/07/2016 Fully Commissioned ;
01/10/2015 Under construction ;
14/01/2014 Approved ;
26/02/2013 Submitted (LPA)",26-Feb-13,(LPA) ,14-Jan-14,Approved (LPA) ,,,01-Oct-15,Under construction ,26-Jul-16,,,,26-Jul-16,Fife council announce that the turbine is commissioned.,http://www.fifedirect.org.uk/news/index.cfm?fuseaction=news.display&objectid=84C2DCC9-9EFA-DCC6-EC8D29A12DC2EE5E
Lower Rumster,1,onshore,,Ventus Renewables Ltd,Ventus Renewables Ltd (100%),,,1,1,,Scotland,Caithness,Scotland,Lybster,,Highland Council,13/01201/FUL,58.3097,-3.34556,ND 21253 36468,50,80,60,Refused,Refused on appeal,Refused,18-Jun-14,,,,,,,,,,,"18/06/2014 Refused on appeal ;
21/11/2013 On appeal ;
28/10/2013 Refused ;
02/04/2013 Submitted (LPA)",02-Apr-13,(LPA) ,28-Oct-13,Refused (LPA) ,18-Jun-14,Refused on appeal ,,,,,Lower Rumster (Resubmission),,,,
Lower Rumster (2nd Resubmission),0.3,onshore,,Natural Power Consultants Ltd,Ventus Renewables Ltd (100%),,,3,0.1,,Scotland,Caithness,Scotland,Lybster,,Highland Council,16/01333/FUL,58.3086,-3.33695,ND 21756 36339,22.8,35,24.4,Consented,Approved,Consented,25-Oct-16,25-Oct-19,25 years after first generation,,,,,,,,,"25/10/2016 Approved ;
23/03/2016 Submitted (LPA)",23-Mar-16,(LPA) ,25-Oct-16,Approved (LPA) ,,,,,,,,Lower Rumster (Resubmission),,,
Lower Rumster (Resubmission),1,onshore,,Ventus Renewables Ltd,Ventus Renewables Ltd (100%),,,1,1,,Scotland,Caithness,Scotland,Lybster,,Highland Council,15/02386/FUL,58.3094,-3.34639,ND 21204 36436,50,80,60,Refused,Refused on appeal,Refused,28-Jan-16,,,,,,,,,,,"28/01/2016 Refused on appeal [non-determination] ;
28/10/2015 On appeal [non-determination] ;
24/06/2015 Submitted (LPA)",24-Jun-15,(LPA) ,,Not determined ,28-Jan-16,Refused on appeal [Non determination],,,,,Lower Rumster (2nd Resubmission),Lower Rumster,28-Jan-16,The Local Review Body has dismissed an appeal on the grounds of non-determination for an application for a single turbine at Lower Rumster,RenewableUK comment
Lower Scoveston Farm,0.5,onshore,,Infinite Renewables Ltd,Infinite Renewables Ltd (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Wales,Pembrokeshire,Mid Wales,"Scoveston Road, Scoveston, Milford Haven",,Pembrokeshire County Council,11/0831/PA,51.7194,-5.00354,SM 92632 06573,50,74,27,Operational,Fully Commissioned,Consented,20-Aug-13,,0.5 years after abandonment,,,,,,,,,"20/08/2013 Fully Commissioned ;
15/06/2013 Under construction ;
21/09/2012 Approved ;
21/11/2011 Submitted (LPA)",21-Nov-11,(LPA) ,21-Sep-12,Approved (LPA) ,,,15-Jun-13,Under construction ,20-Aug-13,,,,15-Apr-13,Pembrokeshire County Council has granted permission for an EWT DW 54 turbine to be installed at Lower Scoveston Farm.,12/1149/PA (Planning reference)
Lower Seater,2.7,onshore,,Ventus Land Ltd,Ventus Land Ltd (100%),,,3,0.9,,Scotland,Caithness,Scotland,Bower,,Highland Council,15/02818/FUL,58.5272,-3.29389,ND 24747 60623,35,62,54,Refused,Refused,Refused,26-Jul-16,,,,,,,,,,,"26/07/2016 Refused ;
20/07/2015 Submitted (LPA) ;
14/11/2011 Scoping",20-Jul-15,(LPA) ,26-Jul-16,Refused (LPA) ,,,,,,,,,,,
Lower Thura,4.6,onshore,,Muirden Energy,Muirden Energy (100%),,,2,2.3,,Scotland,Caithness,Scotland,"Bower, Wick, KW1 4TP",,Highland Council,16/00268/FUL,58.5409,-3.28006,ND 25581 62132,57,92.5,71,Refused,Refused,Refused,10-Oct-16,,,,,,,,,,,"10/10/2016 Refused ;
19/01/2016 Submitted (LPA) ;
21/05/2015 Scoping Opinion Issued ;
30/04/2015 Scoping",19-Jan-16,(LPA) ,10-Oct-16,Refused (LPA) ,,,,,,,,,10-Oct-16,"A planning application by Muirden Energy for two wind turbines at Lower Thura, Wick has been refused by The Highland Council",RenewableUK comment
Lower Tregeen,0.9,onshore,,Landowner (private or company),Landowner (private or company) (100%),EWT,EWT DW 54,1,0.9,Horizontal axis turbine,England,Cornwall,South West,"Davidstow, Camelford, PL32 9XU",,Cornwall Council,PA18/10990,50.6633,-4.59827,SX 16467 88066,50,77,54,Consented,Approved,Consented,13-Sep-19,12-Sep-22,25 years after fully commissioned,,,,,,,,,"13/09/2019 Approved ;
20/11/2018 Submitted (LPA)",20-Nov-18,(LPA) ,13-Sep-19,Approved (LPA) ,,,,,,,,,13-Sep-19,Cornwall Council has granted planning permission for a 77m tip height EWT DW 54 turbine at Lower Tregeen.,RenewableUK comment
Lower Waldridge Farm (Pickles Recovered),0.8,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.8,,England,Buckinghamshire,South East,"Owlswick Road, Ford",,Aylesbury Vale District Council,12/01806/APP,51.7658,-0.868333,SP 78192 08063,,102,,Refused,Refused on appeal,Refused,15-Oct-15,,,,,,,,,,,"15/10/2015 Refused on appeal ;
17/04/2013 On appeal ;
17/01/2013 Refused ;
21/08/2012 Submitted (LPA) ;
23/05/2011 Scoping",21-Aug-12,(LPA) ,17-Jan-13,Refused (LPA) ,15-Oct-15,Refused on appeal ,,,,,,,,,
"Lower Winterbourne, Blandford Forum",18,onshore,,AES Corporation,Your Energy (100%),,,9,2,,England,Dorset,South West,Between Winterbourne Zelston and Blandford Forum,,North Dorset District Council,,50.7906,-2.1575,SY 88995 99015,60,100,80,Refused,Refused,Refused,01-Oct-04,,,,,,,,,,,"01/10/2004 Refused ;
01/07/2003 Submitted (LPA)",01-Jul-03,(LPA) ,01-Oct-04,Refused (LPA) ,,,,,,,,,,,
Lower Withnoe Barton,0.5,onshore,,Aardvark EM Ltd,Community Power Cornwall (100%),EWT,EWT,1,0.5,Horizontal axis turbine,England,Cornwall,South West,Freathy,,Cornwall Council,PA15/08659,50.3497,-4.24056,SX 40692 52377,40,67,,Refused,Refused,Refused,24-Nov-15,,,,,,,,,,,"24/11/2015 Refused ;
15/09/2015 Submitted (LPA)",15-Sep-15,(LPA) ,24-Nov-15,Refused (LPA) ,,,,,,,,,,,
Lowick Common,1.8,onshore,,Ecotricity Group Ltd,Ecotricity Group Ltd (100%),Enercon,Enercon E66,1,1.8,Horizontal axis turbine,England,Cumbria,North West,Lowick Green,,South Lakeland District Council,,54.2475,-3.09722,SD 28602 84091,65,100,70,Refused,Refused,Refused,01-Mar-01,,,,,,,,,,,"01/03/2001 Refused ;
01/01/2001 Submitted (LPA)",01-Jan-01,(LPA) ,01-Mar-01,Refused (LPA) ,,,,,,,Lowick Common (Resubmission),,,,
Ludenhill Farm,0.5,onshore,,Windflow UK Ltd,Windflow UK Ltd (100%),Windflow,Windflow 33-500,1,0.5,,Scotland,Orkney,Scotland,NW of main Orkney Island,,Orkney Islands Council,11/703/TPP,59.1339,-3.23222,HY 29581 28105,30,46.6,33,Operational,Fully Commissioned,Consented,01-Oct-16,,,,,,,,,,,"01/10/2016 Fully Commissioned ;
06/02/2015 Under construction ;
15/05/2012 Approved ;
25/11/2011 Submitted (LPA)",25-Nov-11,(LPA) ,15-May-12,Approved (LPA) ,,,06-Feb-15,Under construction ,01-Oct-16,,,,,,
Lukeston Farm,0.1,onshore,,Landowner (private or company),Landowner (private or company) (100%),Northern Power Systems,NPS100-24,1,0.1,Horizontal axis turbine,Scotland,Inverclyde,Scotland,"Branchal, Bridge of Weir",,Inverclyde Council,12/0099/IC,55.8597,-4.63833,NS 34973 66094,35,47,24,Operational,Fully Commissioned,Consented,01-Mar-15,,,,,,,,,,,"01/03/2015 Fully Commissioned ;
19/12/2014 Under construction ;
29/05/2012 Approved ;
13/03/2012 Submitted (LPA)",13-Mar-12,(LPA) ,29-May-12,Approved (LPA) ,,,19-Dec-14,Under construction ,01-Mar-15,,,,,,
Lumbennie Hill,0.5,onshore,,e-Gen Partners Ltd,Pensions Infrastructure Platform Ltd (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,Fife,Scotland,"Pitcairlie, Newburgh, KY14 6EX",,Fife Council,12/01117/FULL,56.3259,-3.2619,NO 22060 15552,50,77,54,Operational,Fully Commissioned,Consented,10-Mar-15,,,,,,,,,,,"10/03/2015 Fully Commissioned ;
01/09/2014 Under construction ;
30/01/2013 Approved ;
20/04/2012 Submitted (LPA)",20-Apr-12,(LPA) ,30-Jan-13,Approved (LPA) ,,,01-Sep-14,Under construction ,10-Mar-15,,,,25-Nov-16,PiP (Pensions Infrastructure Platform) has acquired the project from Golden Square Energy.,RenewableUK comment
Lundy View Farm,0.1,onshore,,Landowner (private or company),Landowner (private or company) (100%),Northern Power Systems,NPS100-21,1,0.1,Horizontal axis turbine,England,Cornwall,South West,"Hallworthy, Camelford",,Cornwall Council,PA13/06283,50.6628,-4.57528,SX 18090 87957,36.8,47.1,20.7,Operational,Fully Commissioned,Consented,06-Oct-14,,,,,,,,,,,"06/10/2014 Fully Commissioned ;
06/07/2014 Under construction ;
05/09/2013 Approved ;
12/07/2013 Submitted (LPA)",12-Jul-13,(LPA) ,05-Sep-13,Approved (LPA) ,,,06-Jul-14,Under construction ,06-Oct-14,,,,,,
Lurg Hill,15,onshore,,vento ludens Ltd,vento ludens Ltd (100%),,,5,3,,Scotland,Moray,Scotland,Deskford,,Moray Council,17/01198/EIA,57.6116,-2.82322,NJ 50913 58257,85,130,,Consented,Approved on appeal,Consented,25-Feb-19,25-Feb-22,30 years after first generation,,,,,,,,,"25/02/2019 Approved on appeal ;
19/09/2018 On appeal ;
20/06/2018 Refused ;
01/08/2017 Submitted (LPA) ;
09/09/2015 Scoping Opinion Issued ;
08/07/2015 Scoping",01-Aug-17,(LPA) ,20-Jun-18,Refused (LPA) ,25-Feb-19,Approved on appeal ,,,,,,,25-Feb-19,The Reporter appointed by Scottish Ministers has allowed the appeal and granted planning permission for Lurg Hill wind farm.,RenewableUK comment
"Lurgana Road, 16",0.1,onshore,,Lissan Design,Landowner (private or company) (100%),,,1,0.1,,Northern Ireland,Co. Armagh,Northern Ireland,"318m SW of 16 Lurgana Road, Whitecross, BT60 2JW",,"Newry, Mourne and Down District Council",LA07/2015/1283/F,54.2134,-6.50544,SB 06367 89113,18.3,24.8,13,Consented,Approved,Consented,23-Feb-17,,,,,,,,,,,"23/02/2017 Approved ;
04/12/2015 Submitted (LPA)",04-Dec-15,(LPA) ,23-Feb-17,Approved (LPA) ,,,,,,,,,,,
"Lurganeden Road, 92",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Londonderry,Northern Ireland,"415m SW of 92 Lurganeden Road, Pomeroy, Dungannon, BT70 2TL",,Mid Ulster District Council,I/2011/0148/F,54.5818,-6.92883,NV 81657 31904,32.3,45.3,32,Consented,Approved,Consented,02-Jan-13,11-Dec-18,25 years after fully commissioned,,,,,,,,,"02/01/2013 Approved ;
11/03/2011 Submitted (LPA)",11-Mar-11,(LPA) ,02-Jan-13,Approved (LPA) ,,,,,,,,,,,
Lurgylea Road,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Tyrone,Northern Ireland,"Crannogue, Dungannon",,Mid Ulster District Council,M/2012/0444/F,54.5433,-6.91833,NV 82035 27581,52,65,,Consented,Approved,Consented,02-May-13,,,,,,,,,,,"02/05/2013 Approved ;
23/08/2012 Submitted (LPA)",23-Aug-12,(LPA) ,02-May-13,Approved (LPA) ,,,,,,,,,,,
Luson Farm,0.8,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),,,1,0.8,,England,Devon,South West,Near Westlake,,South Hams District Council,21/1640/13/F,50.3661,-3.94583,SX 61707 53610,60,87,53,Refused,Refused,Refused,05-Sep-13,,,,,,,,,,,"05/09/2013 Refused ;
28/06/2013 Submitted (LPA)",28-Jun-13,(LPA) ,05-Sep-13,Refused (LPA) ,,,,,,,,,,,
Lygan Uchaf Farm,1.3,onshore,,RESense Ltd,RESense Ltd (100%),,,1,1.3,,Wales,Flintshire,North Wales,"Wern Road, Rhosemoor, Mold",,Flintshire County Council,52344,53.2042,-3.2,SJ 19945 68131,,87,,Refused,Refused,Refused,26-Mar-15,,,,,,,,,,,"26/03/2015 Refused ;
07/07/2014 Submitted (LPA)",07-Jul-14,(LPA) ,26-Mar-15,Refused (LPA) ,,,,,,,,,,,
Lynch Knoll,0.5,onshore,,Ecotricity Group Ltd,Ecotricity Group Ltd (100%),Enercon,Enercon E40,1,0.5,Horizontal axis turbine,England,Gloucestershire,South West,Nympsfield,,Stroud District Council,S.9638/F,51.7022,-2.26781,SO 81589 00415,42,62,40,Operational,Fully Commissioned,Consented,13-Dec-96,,,,,,,,,,,"13/12/1996 Fully Commissioned ;
13/10/1996 Under construction ;
01/06/1996 Approved ;
01/06/1991 Submitted (LPA)",01-Jun-91,(LPA) ,01-Jun-96,Approved (LPA) ,,,13-Oct-96,Under construction ,13-Dec-96,,,,,,
Lynch Knoll Extension,2,onshore,,Ecotricity Group Ltd,Ecotricity Group Ltd (100%),Enercon,Enercon (unknown model),4,0.5,Horizontal axis turbine,England,Gloucestershire,South West,Nympsfield,,Stroud District Council,,51.6797,-2.27472,ST 81102 97918,43,63,40,Refused,Refused,Refused,01-Jan-02,,,,,,,,,,,"01/01/2002 Refused ;
01/01/2001 Submitted (LPA)",01-Jan-01,(LPA) ,01-Jan-02,Refused (LPA) ,,,,,,,,,,,
Lynemouth,26,onshore,,ScottishPower Renewables,ScottishPower Renewables (100%),Gamesa,Gamesa G87,13,2,Horizontal axis turbine,England,Northumberland,North East,nr Lynemouth and Ellington,,Castle Morpeth BC,06/00470/FULES,55.2039,-1.56083,NZ 28049 90048,,121,,Operational,Fully Commissioned,Consented,28-Feb-12,,,,,,,,,,,"28/02/2012 Fully Commissioned ;
01/10/2010 Under construction ;
01/01/2009 Approved on appeal ;
11/09/2007 On appeal ;
01/06/2007 Refused ;
01/02/2006 Submitted (LPA)",01-Feb-06,(LPA) ,01-Jun-07,Refused (LPA) ,01-Jan-09,Approved on appeal ,01-Oct-10,Under construction ,28-Feb-12,,,,,,
Lyth,23,onshore,,EuroWind GmbH,EuroWind GmbH (100%),Enercon,Enercon E70,10,2.3,Horizontal axis turbine,Scotland,Caithness,Scotland,Barrock,,Highland Council,13/01832/FUL,58.5833,-3.22972,ND 28598 66799,64,100,,Refused,Refused on appeal,Refused,20-May-14,,,,,,,,,,,"20/05/2014 Refused on appeal ;
21/02/2014 On appeal ;
26/11/2013 Refused ;
18/05/2013 Submitted (LPA)",18-May-13,(LPA) ,26-Nov-13,Refused (LPA) ,20-May-14,Refused on appeal ,,,,,,,,,
M1 Wind Farm,7.2,onshore,,Wind Prospect Ltd,EDF Renewables (51%); Dalmore Capital Ltd (36.75%); Pensions Infrastructure Platform Ltd (12.25%),Enercon,Enercon E53,9,0.8,Horizontal axis turbine,England,Northamptonshire,East Midlands,Nr Roade and Hartwell,,South Northamptonshire District Council,S/2011/1421/MAF,52.1606,-0.863889,SP 77813 51978,60,87,53,Operational,Fully Commissioned,Consented,30-Jun-14,,25 years after first generation,09-Apr-39,,,,,,,,"30/06/2014 Fully Commissioned ;
09/04/2014 Partial Operation ;
15/01/2014 Under construction ;
09/05/2013 Approved ;
01/11/2011 Submitted (LPA)",01-Nov-11,(LPA) ,09-May-13,Approved (LPA) ,,,15-Jan-14,Under construction ,30-Jun-14,,,,29-Jun-18,EDF Renewables has signed a new partnership in twenty four UK wind farms with Dalmore Capital Limited and Pensions Infrastructure Platform. EDF Renewables will continue to own a 51% share in the portfolio of wind farms.The cash proceeds to EDF at close for the 49% stake are £701 million.,https://www.edfenergy.com/media-centre/news-releases/edf-renewables-signs-new-partnership-twenty-four-uk-wind-farms
M48 Wind Farm (Community Owned),5.2,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),Vestas,Vestas V100-1.8/2.0/2.2,2,2.6,Horizontal axis turbine,England,Gloucestershire,South West,"Ingst Hill, Olveston",,South Gloucestershire Council,PT12/4071/F,51.5803,-2.60611,ST 58098 87001,80,130,,Withdrawn,Withdrawn from appeal,Consented,07-Oct-15,,,,,,,,,,,"07/10/2015 Withdrawn from appeal ;
27/07/2015 On appeal ;
17/12/2014 Refused ;
05/12/2012 Submitted (LPA)",05-Dec-12,(LPA) ,17-Dec-14,Refused (LPA) ,07-Oct-15,Withdrawn from appeal ,,,,,,,,,
Mablethorpe,1.2,onshore,,Ecotricity Group Ltd,Ecotricity Group Ltd (100%),Enercon,Enercon E40,2,0.6,Horizontal axis turbine,England,Lincolnshire,East Midlands,Mile End Lane,,East Lindsey District Council,N/110/01505/01,53.3176,0.234782,TF 48965 82408,65,87,44,Operational,Fully Commissioned,Consented,01-Jul-02,,0.08 years after abandonment,,,,,,,,,"01/07/2002 Fully Commissioned ;
01/05/2002 Under construction ;
04/12/2001 Approved ;
30/09/2001 Submitted (LPA)",30-Sep-01,(LPA) ,04-Dec-01,Approved (LPA) ,,,01-May-02,Under construction ,01-Jul-02,,,,,,
Maboy Road,0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,Portglenone,,Mid and East Antrim Borough Council,G/2013/0162/F,54.91,-6.43639,NW 15762 66270,32,45,32,Consented,Approved,Consented,08-Nov-13,,,,,,,,,,,"08/11/2013 Approved ;
29/04/2013 Submitted (LPA)",29-Apr-13,(LPA) ,08-Nov-13,Approved (LPA) ,,,,,,,,,,,
Macken,0.25,onshore,,CD Consulting,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Fermanagh,Northern Ireland,"565m South West of the junction of main Derrylin Rd and Marble Arch Rd ,Macken, Enniskillen, BT92 3EB",,Enniskillen DC,L/2012/0682/F,54.257,-7.64265,SA 32685 99302,40,59.5,39,Operational,Fully Commissioned,Consented,03-Feb-15,,1 years after abandonment,,,Replaced,"Macken (Replacement) (Resubmission) [Submitted (LPA), 7-Aug-2019, 0.25MW]",,,,,"03/02/2015 Fully Commissioned ;
01/10/2014 Under construction [estimate] ;
01/02/2013 Approved ;
02/11/2012 Submitted (LPA)",02-Nov-12,(LPA) ,01-Feb-13,Approved (LPA) ,,,01-Oct-14,Under construction [Estimate],03-Feb-15,,,,22-Dec-14,Planning permission has been granted to increase the allowed turbine height from 54.5m to 59.5m and the rotor diameter from 29m to 39m.,L/2014/0399/F (Planning reference)
Maclachrieston Farm,0.33,onshore,,Landowner (private or company),GVO Wind Ltd (100%),Enercon,Enercon E33,1,0.33,Horizontal axis turbine,Scotland,South Ayrshire,Scotland,"Pinmore, KA26 0HY",,South Ayrshire Council,10/00323/APP,55.184,-4.81702,NX 20708 91744,37.5,54,33,Operational,Fully Commissioned,Consented,18-Sep-13,,,,,,,,,,,"18/09/2013 Fully Commissioned ;
18/12/2012 Pre-Construction ;
16/02/2011 Approved ;
08/03/2010 Submitted (LPA)",08-Mar-10,(LPA) ,16-Feb-11,Approved (LPA) ,,,,,18-Sep-13,,,,,,
Macosquin Quarry,0.25,onshore,,Renewable Power Systems Ltd,Renewable Power Systems Ltd (100%),EWT,EWT DW 54,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"365m north west of 41 Cashel Road, Macosquin, Coleraine, BT51 4PP",,Causeway Coast & Glens Borough Council,LA01/2015/0098/F,55.09,-6.71881,NV 99027 87457,40,67,54,Consented,Approved,Consented,03-Feb-16,25-Jan-21,25 years after first generation,,,,,,,,,"03/02/2016 Approved ;
27/04/2015 Submitted (LPA)",27-Apr-15,(LPA) ,03-Feb-16,Approved (LPA) ,,,,,,,,,,,
"Madden Road, 129",0.25,onshore,,NRG Solutions Ltd,NRG Solutions Ltd (100%),,,1,0.25,,Northern Ireland,Co. Armagh,Northern Ireland,"480m NE of 129 Madden Road, Keady, BT60 3LQ",,"Armagh City, Banbridge & Craigavon Borough Council",O/2011/0195/F,54.2619,-6.75094,SA 90737 95561,40,55,30,Operational,Fully Commissioned,Consented,30-May-17,,25 years after fully commissioned,30-May-42,,,,,,,,"30/05/2017 Fully Commissioned ;
01/02/2017 Under construction [estimate] ;
12/06/2012 Approved ;
08/04/2011 Submitted (LPA)",08-Apr-11,(LPA) ,12-Jun-12,Approved (LPA) ,,,01-Feb-17,Under construction [Estimate],30-May-17,,,,,,
Maenhir,0.1,onshore,,Renewables Unlimited LLP,Constantine Wind Energy Ltd (100%),Northern Power Systems,NPS100-24,1,0.1,Horizontal axis turbine,Wales,Carmarthenshire,Mid Wales,"Login, Whitland, SA34 0XE",,Carmarthenshire County Council,W/29487,51.8984,-4.68688,SN 15234 25615,22.6,34.4,23.6,Operational,Fully Commissioned,Consented,01-Jul-16,,0.5 years after abandonment,,,,,,,,,"01/07/2016 Fully Commissioned ;
01/03/2016 Under construction [estimate] ;
18/02/2015 Approved ;
21/01/2014 Submitted (LPA) ;
16/07/2012 Development",21-Jan-14,(LPA) ,18-Feb-15,Approved (LPA) ,,,01-Mar-16,Under construction [Estimate],01-Jul-16,,,,,,
Maer Hill,8,onshore,,Claymoss Properties Ltd,Claymoss Properties Ltd (100%),,,4,2,,England,Staffordshire,West Midlands,"Maer Hills, Newcastle Road, Blackbrook, Newcastle",,Newcastle-under-Lyme Borough Council,08/00550/FUL,52.9542,-2.33639,SJ 77497 39700,80,125,90,Refused,Refused,Refused,17-Feb-09,,,,,,,,,,,"17/02/2009 Refused ;
01/07/2008 Submitted (LPA)",01-Jul-08,(LPA) ,17-Feb-09,Refused (LPA) ,,,,,,,,,,,
Maerdy,24,onshore,,Forsa Energy Ltd,Greencoat UK Wind plc (100%),Siemens,SWT-3.0-101,8,3,Horizontal axis turbine,Wales,Rhondda Cynon Taff,South Wales,"Tynewydd Forest, Rhondda Fach",,Rhondda Cynon Taf County Borough Council,06/1865,51.6975,-3.51778,SN 95199 00952,94,144,101,Operational,Fully Commissioned,Consented,31-Aug-13,,25 years after first generation,26-Jul-38,,,,,,,,"31/08/2013 Fully Commissioned ;
09/07/2012 Under construction ;
02/02/2009 Approved ;
01/09/2006 Submitted (LPA)",01-Sep-06,(LPA) ,02-Feb-09,Approved (LPA) ,,,09-Jul-12,Under construction ,31-Aug-13,,,,25-Jun-14,Greencoat has entered into an agreement to acquire Maerdy wind farm from Velocita for a total cash consideration of £52.9m.,http://www.lse.co.uk/share-regulatory-news.asp?shareprice=UKW&ArticleCode=6ea5razi
Maerdy Extension,3,onshore,,Forsa Energy Ltd,Greencoat UK Wind plc (100%),,,1,3,,Wales,Rhondda Cynon Taff,South Wales,"Tynewydd Forest, Rhondda Fach",,Rhondda Cynon Taf County Borough Council,14/0556/10,51.6847,-3.50778,SS 95861 99514,,145,,Consented,Approved,Consented,22-Dec-14,22-Dec-19,Specific date,26-Jul-38,,,,,,,,"22/12/2014 Approved ;
01/05/2014 Submitted (LPA)",01-May-14,(LPA) ,22-Dec-14,Approved (LPA) ,,,,,,,,,25-Jun-14,Greencoat has entered into an agreement to acquire Maerdy wind farm from Velocita for a total cash consideration of £52.9m.,http://www.lse.co.uk/share-regulatory-news.asp?shareprice=UKW&ArticleCode=6ea5razi
